CGATS.17
ORIGINATOR	"Ergosoft AG"
FILE_DESCRIPTOR	""
CREATED	"02/06/26"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	3401
BEGIN_DATA
89 "10F TM WHITE NK728788" 0.000000 0.000000 0.000000 0.000000 100.000000 0.500000 0.500000
90 "03S TM BLACK NK728788" 90.499733 20.000000 37.000076 100.000000 12.100404 -8.199219 -3.500000
91 "05X TM ANTHRACITE NK728788" 65.000381 40.999466 51.500725 84.499886 20.300603 -2.699219 0.898438
92 "01P TM DK STEEL GREY NK728788" 52.500191 42.499428 48.499275 36.000610 45.699245 0.898438 4.601563
93 "03T TM BLUE GREY NK728788" 33.499657 26.999313 31.000229 10.000763 70.800336 0.300781 2.199219
94 "2AQ TM BROWN NK728788" 26.999313 60.000000 82.999924 88.499275 18.699931 8.699219 12.300781
95 "2DH MEDIUM OLIVE NK728788" 23.999390 8.499275 68.499275 70.499733 41.399252 -3.101563 25.000000
96 "3EM TM KELLY GREEN NK728788" 79.000534 8.999771 87.499809 25.999847 46.799420 -35.898438 24.199219
97 "31V TM DARK GREEN NK728788" 89.500267 6.500343 91.500725 72.500191 26.599527 -25.300781 12.500000
98 "4CV TM LIGHT BLUE NK728788" 58.500038 21.499962 2.999924 11.000229 62.999924 -8.000000 -26.898438
99 "4ES TM AERO BLUE NK728788" 91.999695 8.499275 20.999466 8.000305 51.999695 -37.601563 -28.699219
100 "43V TM NAVY NK728788" 100.000000 74.000153 17.000076 80.999466 16.000610 2.300781 -13.601563
101 "44A TM TIDAL BLUE NK728788" 81.499962 2.000458 28.999771 5.999847 57.700465 -38.699219 -16.699219
102 "45W TM BLUSTERY NK728788" 91.000229 0.000000 60.000000 13.000687 49.700160 -48.300781 1.898438
103 "49V TM ROYAL NK728788" 92.500191 55.500114 12.500191 11.999695 39.099718 -6.800781 -34.300781
104 "52M NEW ORCHID NK728788" 91.000229 90.000763 0.000000 42.000458 23.100633 11.398438 -24.300781
105 "52V TM PURPLE NK728788" 85.499351 88.000305 0.999466 11.999695 29.199664 21.398438 -37.898438
106 "6DR TM PINK FIRE II NK728788" 20.500496 74.999619 2.000458 0.000000 55.500114 49.500000 -12.500000
107 "64V TM SCARLET NK728788" 5.000381 99.000534 80.999466 25.000381 40.700389 58.101563 31.500000
108 "67Y TM DARK MAROON NK728788" 41.499962 99.000534 68.000305 71.999695 19.800107 22.500000 7.800781
109 "69W TM CRIMSON NK728788" 2.000458 93.000687 76.000610 54.500649 30.499733 41.699219 22.699219
110 "69Y TM CARDINAL NK728788" 8.999771 98.500038 62.000458 66.999313 25.099565 34.601563 14.398438
111 "79S TM YELLOW STRIKE NK728788" 0.000000 5.000381 85.999847 0.000000 91.299306 -0.199219 80.898438
112 "79X TM VEGAS GOLD NK728788" 13.499657 19.499504 48.999771 2.000458 80.700389 4.000000 31.000000
113 "79Y TM BRIGHT GOLD NK728788" 0.000000 34.000153 99.000534 2.000458 75.800717 21.699219 78.699219
114 "81F TM DESERT ORANGE NK728788" 16.000610 76.000610 93.000687 37.000076 51.999695 55.000000 59.000000
115 "82U TM ORANGE NK728788" 5.499351 88.000305 97.000076 0.000000 51.000229 60.398438 46.800781
116 "87F TM BRIGHT CERAMIC NK728788" 0.000000 56.499580 100.000000 0.000000 65.200275 40.199219 67.500000
117 "4EW RUSH BLUE NK728788" 96.499580 62.999924 23.999390 10.299840 20.000000 43.000000 -78.000000
118 "10F TM WHITE RW20WK" 0.000000 0.000000 0.000000 0.000000 100.000000 0.500000 0.500000
119 "03S TM BLACK RW20WK" 92.600900 7.000839 38.001068 100.000000 17.900359 -9.500000 -3.898438
120 "05X TM ANTHRACITE RW20WK" 65.499351 41.499962 47.499809 80.500496 24.499886 -3.601563 -1.898438
121 "01P TM DK STEEL GREY RW20WK" 52.001221 42.999924 48.500801 46.999313 43.599603 -0.699219 1.898438
